idx,error,flops
0, 73.3666667260064, 3.91948
1, 55.96666667683919, 28.49548
2, 72.74444443766276, 19.64812
3, 71.9555555843777, 1.9534
4, 68.51111116366916, 3.91948
5, 61.25555559285482, 12.76684
6, 60.13333338080512, 28.49548
7, 60.45555564032661, 19.64812
8, 58.544444424099396, 11.7838
9, 72.04444448343912, 10.800760000000002
10, 99.16666666878594, 28.49548
11, 69.83333339775933, 28.49548
12, 99.16666666815016, 10.800760000000002
13, 61.78888886176215, 12.76684
14, 61.12222227308485, 20.63116
15, 86.82222224680582, 1.9534
16, 56.67777787272136, 19.64812
17, 63.5888889058431, 4.90252
18, 61.988888882107204, 20.63116
19, 70.20000007968478, 20.63116
20, 65.76666665649415, 19.64812
21, 57.46666672431098, 12.76684
22, 63.844444458007814, 11.7838
23, 63.677777815077036, 28.49548
24, 73.1000000474718, 2.9364399999999997
25, 71.70000004408095, 1.9534
26, 61.70000006781684, 5.885560000000001
27, 64.1555555674235, 4.90252
28, 72.95555555386014, 2.9364399999999997
29, 69.78888890414768, 10.800760000000002
30, 61.41111112128363, 10.800760000000002
31, 63.55555556403266, 11.7838
32, 58.10000007459852, 11.7838
33, 57.677777815077036, 12.76684
34, 61.811111165364586, 11.7838
35, 61.97777776421441, 11.7838
36, 62.855555599636496, 20.63116
37, 65.57777778455946, 2.9364399999999997
38, 64.71111114841037, 20.63116
39, 66.36666669548882, 3.91948
40, 84.56666670057508, 11.7838
41, 67.61111119757757, 12.76684
42, 55.66666672431098, 20.63116
43, 61.144444420708545, 19.64812
44, 82.11111113484701, 2.9364399999999997
45, 66.38888890075683, 2.9364399999999997
46, 61.91111116875543, 19.64812
47, 63.444444468180336, 19.64812
48, 71.48888888041178, 2.9364399999999997
49, 62.75555566745334, 11.7838
50, 55.233333404541014, 22.59724
51, 69.82222223239475, 11.7838
52, 56.32222232055664, 20.63116
53, 88.86666667344835, 1.9534
54, 60.87777785576714, 20.63116
55, 71.67777777269151, 1.9534
56, 56.811111246744794, 12.76684
57, 83.95555559624566, 10.800760000000002
58, 86.17777779727513, 1.9534
59, 67.14444448852538, 4.90252
60, 65.8111111501058, 4.90252
61, 68.78888894483778, 11.7838
62, 59.311111090766055, 12.76684
63, 57.37777779812283, 21.6142
64, 59.133333438449434, 30.461560000000002
65, 54.466666751437714, 30.461560000000002
66, 84.60000000339085, 1.9534
67, 56.811111138237855, 30.461560000000002
68, 60.588888994004996, 11.7838
69, 55.89999996270074, 19.64812
70, 60.62222236124674, 19.64812
71, 63.52222230360243, 11.7838
72, 71.91111112976074, 2.9364399999999997
73, 67.23333335367838, 19.64812
74, 99.16666666793823, 11.7838
75, 85.24444445546467, 10.800760000000002
76, 71.60000004408094, 2.9364399999999997
77, 55.54444455295138, 20.63116
78, 61.13333342488607, 13.74988
79, 60.97777780151367, 11.7838
80, 56.67777781846788, 12.76684
81, 53.5555555996365, 38.32588
82, 67.87777781677246, 37.34284
83, 75.46666669209799, 2.9364399999999997
84, 62.7111111585829, 11.7838
85, 61.68888894992404, 12.76684
86, 58.15555565049913, 12.76684
87, 77.28888892618815, 2.9364399999999997
88, 67.96666677517362, 4.90252
89, 59.8888888821072, 11.7838
90, 62.34444451904297, 5.885560000000001
91, 63.311111175537114, 4.90252
92, 61.11111111450195, 12.76684
93, 63.42222226291232, 19.64812
94, 70.34444453599718, 3.91948
95, 86.18888891092936, 1.9534
96, 65.01111118740505, 20.63116
97, 67.8222222849528, 2.9364399999999997
98, 67.15555559115938, 3.91948
99, 56.01111118910048, 20.63116
100, 60.9222223171658, 28.49548
101, 66.08888889736599, 11.7838
102, 57.25555555216471, 13.74988
103, 59.30000006781684, 20.63116
104, 99.16666666815016, 3.91948
105, 99.16666666730245, 1.9534
106, 84.50000001949734, 2.9364399999999997
107, 68.66666673278809, 11.7838
108, 99.16666666730245, 2.9364399999999997
109, 54.722222215440546, 21.6142
110, 64.56666672261557, 10.800760000000002
111, 55.08888891262478, 21.6142
112, 60.07777784220378, 19.64812
113, 71.40000003729926, 2.9364399999999997
114, 65.9222222849528, 19.64812
115, 64.72222232733833, 10.800760000000002
116, 58.233333350287545, 12.76684
117, 59.800000105116105, 29.47852
118, 80.6222222595215, 1.9534
119, 56.466666690402555, 21.6142
120, 99.16666666751438, 19.64812
121, 60.500000037299266, 21.6142
122, 63.91111121961806, 4.90252
123, 77.67777781846787, 11.7838
124, 60.26666679212782, 11.7838
125, 63.70000005425347, 3.91948
126, 74.84444448682997, 3.91948
127, 67.88888890245227, 12.76684
128, 59.22222230021159, 20.63116
129, 54.54444449869792, 29.47852
130, 59.74444448513455, 11.7838
131, 77.51111115519205, 11.7838
132, 60.67777788967556, 11.7838
133, 56.27777785576715, 20.63116
134, 61.63333338758681, 4.90252
135, 61.033333346896704, 10.800760000000002
136, 64.88888893466526, 37.34284
137, 56.65555561319987, 28.49548
138, 58.97777784898546, 46.1902
139, 62.977777872721354, 20.63116
140, 58.81111118570964, 12.76684
141, 61.6222222527398, 4.90252
142, 57.78888886176215, 21.6142
143, 60.95555563015409, 11.7838
144, 70.46666670735677, 19.64812
145, 66.86666673787434, 3.91948
146, 72.60000005933973, 10.800760000000002
147, 58.06666676839193, 29.47852
148, 59.40000005764431, 12.76684
149, 63.91111116875542, 3.91948
150, 67.82222227478027, 3.91948
151, 78.13333335283068, 2.9364399999999997
152, 57.66666671074761, 12.76684
153, 55.16666665649414, 22.59724
154, 62.200000064426, 13.74988
155, 68.58888889058431, 11.7838
156, 69.43333338419596, 10.800760000000002
157, 90.67777779897054, 1.9534
158, 58.88888897365994, 21.6142
159, 66.53333337063259, 11.7838
160, 73.30000009833442, 10.800760000000002
161, 63.50000007459852, 10.800760000000002
162, 60.94444441053602, 21.6142
163, 75.21111116027832, 2.9364399999999997
164, 58.78888900417752, 29.47852
165, 58.300000098334415, 21.6142
166, 67.44444451056586, 3.91948
167, 66.20000008477106, 3.91948
168, 54.10000002712673, 22.59724
169, 69.4555555826823, 11.7838
170, 67.4111112230089, 3.91948
171, 58.65555561319987, 29.47852
172, 99.16666666793823, 1.9534
173, 80.85555560896131, 3.91948
174, 58.9111111178928, 11.7838
175, 70.83333339945476, 19.64812
176, 68.6888889058431, 2.9364399999999997
177, 69.45555555386014, 3.91948
